date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-02-27T07:01:53.364000+00:00,27,31.963,43.138,23.971,232,256,False,99.072,2,1253,"[2051, 2051, 2051, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2051, 0]",9684,293
2025-02-27T07:02:01.974000+00:00,63,31.521,41.863,23.839,233,255,False,97.223,2,1253,"[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2049, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2049, 2049, 2051, 2051, 2051]","[2049, 2051, 2051, 2051, 2049, 2051, 0]",9684,286
2025-02-27T07:03:58.373000+00:00,14,36.171,49.968,30.288,199,197,False,116.427,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2064]",9684,235
2025-02-27T07:04:54.289000+00:00,81,64.398,48.147,31.058,198,200,True,143.603,2,1253,"[None, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,139
2025-02-27T07:06:05.976000+00:00,31,33.702,44.716,24.852,227,240,False,103.27,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,282
2025-02-27T07:06:14.961000+00:00,30,31.843,41.887,24.254,231,266,False,97.984,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,289
2025-02-27T07:07:52.651000+00:00,44,33.166,50.802,25.635,232,257,False,109.603,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 0]",9684,290
2025-02-27T07:08:18.343000+00:00,22,31.68,42.318,23.963,230,261,False,97.961,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,302
2025-02-27T07:08:58.083000+00:00,55,31.24,40.42,26.367,232,263,False,98.027,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2064]",9684,279
2025-02-27T07:13:25.173000+00:00,10,,53.331,28.789,174,225,True,,2,1253,"[None, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",9684,198
2025-02-27T12:15:00.682000+00:00,16,29.482,38.941,22.57,240,274,False,90.993,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",9684,310
2025-02-27T12:15:12.091000+00:00,6,,45.893,25.359,229,112,True,,2,1253,"[None, 2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049]",9684,192
2025-02-27T12:15:31.196000+00:00,87,31.158,41.004,23.693,232,263,False,95.855,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049]",9684,292
2025-02-27T12:16:59.801000+00:00,12,33.434,40.369,22.844,232,270,False,96.647,2,1253,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",9684,311
2025-02-27T12:19:09.151000+00:00,7,29.554,39.302,22.777,238,268,False,91.633,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",9684,315
2025-02-27T12:35:24.332000+00:00,5,30.268,39.938,23.358,238,270,False,93.564,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",9684,316
2025-02-27T12:40:12.843000+00:00,18,31.834,44.831,28.488,233,244,False,105.153,2,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2048, 2064]",9684,278
